"Species";"Weight";"Height";"Width"
0;242;11.52;4.02
0;290;12.48;4.3056
0;340;12.3778;4.6961
0;363;12.73;4.4555
0;430;12.444;5.134
0;450;13.6024;4.9274
0;500;14.1795;5.2785
0;390;12.67;4.69
0;450;14.0049;4.8438
0;500;14.2266;4.9594
0;475;14.2628;5.1042
0;500;14.3714;4.8146
0;500;13.7592;4.368
0;340;13.9129;5.0728
0;600;14.9544;5.1708
0;600;15.438;5.58
0;700;14.8604;5.2854
0;700;14.938;5.1975
0;610;15.633;5.1338
0;650;14.4738;5.7276
0;575;15.1285;5.5695
0;685;15.9936;5.3704
0;620;15.5227;5.2801
0;680;15.4686;6.1306
0;700;16.2405;5.589
0;725;16.36;6.0532
0;720;16.3618;6.09
0;714;16.517;5.8515
0;850;16.8896;6.1984
0;1000;18.957;6.603
0;920;18.0369;6.3063
0;955;18.084;6.292
0;925;18.7542;6.7497
0;975;18.6354;6.7473
0;950;17.6235;6.3705
0;40;4.1472;2.268
0;69;5.2983;2.8217
0;78;5.5756;2.9044
0;87;5.6166;3.1746
0;120;6.216;3.5742
0;0;6.4752;3.3516
0;110;6.1677;3.3957
0;120;6.1146;3.2943
0;150;5.8045;3.7544
0;145;6.6339;3.5478
0;160;7.0334;3.8203
0;140;6.55;3.325
0;160;6.4;3.8
0;169;7.5344;3.8352
0;161;6.9153;3.6312
0;200;7.3968;4.1272
0;180;7.0866;3.906
0;290;8.8768;4.4968
0;272;8.568;4.7736
0;390;9.485;5.355
1;5.9;2.112;1.408
1;32;3.528;1.9992
1;40;3.824;2.432
1;51.5;4.5924;2.6316
1;70;4.588;2.9415
1;100;5.2224;3.3216
1;78;5.1992;3.1234
1;80;5.6358;3.0502
1;85;5.1376;3.0368
1;85;5.082;2.772
1;110;5.6925;3.555
1;115;5.9175;3.3075
1;125;5.6925;3.6675
1;130;6.384;3.534
1;120;6.11;3.4075
1;120;5.64;3.525
1;130;6.11;3.525
1;135;5.875;3.525
1;110;5.5225;3.995
1;130;5.856;3.624
1;150;6.792;3.624
1;145;5.9532;3.63
1;150;5.2185;3.626
1;170;6.275;3.725
1;225;7.293;3.723
1;145;6.375;3.825
1;188;6.7334;4.1658
1;180;6.4395;3.6835
1;197;6.561;4.239
1;218;7.168;4.144
1;300;8.323;5.1373
1;260;7.1672;4.335
1;265;7.0516;4.335
1;250;7.2828;4.5662
1;250;7.8204;4.2042
1;300;7.5852;4.6354
1;320;7.6156;4.7716
1;514;10.03;6.018
1;556;10.2565;6.3875
1;840;11.4884;7.7957
1;685;10.881;6.864
1;700;10.6091;6.7408
1;700;10.835;6.2646
1;690;10.5717;6.3666
1;900;11.1366;7.4934
1;650;11.1366;6.003
1;820;12.4313;7.3514
1;850;11.9286;7.1064
1;900;11.73;7.225
1;1015;12.3808;7.4624
1;820;11.135;6.63
1;1100;12.8002;6.8684
1;1000;11.9328;7.2772
1;1100;12.5125;7.4165
1;1000;12.604;8.142
1;1000;12.4888;7.5958
